Method:,new,,
Host Date-Time:,15/3/19 @ 21:22:20,,
Header Version:,1,,
System Temp (C):,28.44,,
Detector Temp (C):,26.25,,
Humidity (%):,48.73,,
Lamp PD:,3775,,
Shift Vector Coefficients:,-6.74686,0.0524561,-0.000101434,,
Pixel to Wavelength Coefficients:,1814.03,-0.914938,-0.00023931,,
Serial Number:,5510028,,
Scan Config Name:,new,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):, 15.240,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:, 24.366,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.906296,0.462425,71820.000000,24764.000000
904.828517,0.469272,86358.000000,29311.000000
908.746430,0.475870,97758.000000,32680.000000
913.963613,0.480165,110243.000000,36491.000000
917.871475,0.481825,120591.000000,39764.000000
921.775029,0.483473,134100.000000,44051.000000
925.674276,0.487595,150991.000000,49131.000000
929.569215,0.491316,170011.000000,54848.000000
933.459847,0.495953,189894.000000,60612.000000
937.346171,0.500918,208331.000000,65741.000000
941.228187,0.507049,224869.000000,69965.000000
945.105896,0.512560,238808.000000,73365.000000
948.979297,0.520487,251889.000000,75984.000000
952.848391,0.529084,264137.000000,78117.000000
958.000482,0.540395,279863.000000,80640.000000
961.859524,0.547693,291735.000000,82660.000000
965.714259,0.552813,303819.000000,85075.000000
969.564687,0.555652,315794.000000,87852.000000
973.410806,0.557422,327489.000000,90735.000000
977.252619,0.558413,338786.000000,93651.000000
981.090123,0.558483,348863.000000,96421.000000
984.923320,0.558060,357867.000000,99006.000000
988.752210,0.557515,365848.000000,101341.000000
992.576792,0.556238,372415.000000,103464.000000
996.397066,0.554470,377154.000000,105208.000000
1001.484064,0.551692,381870.000000,107207.000000
1005.294288,0.549696,384246.000000,108371.000000
1009.100203,0.547971,385587.000000,109182.000000
1012.901811,0.545578,386049.000000,109917.000000
1016.699112,0.543363,386049.000000,110479.000000
1020.492105,0.541302,386305.000000,111078.000000
1024.280790,0.538618,385649.000000,111577.000000
1028.065168,0.536451,384043.000000,111668.000000
1031.845238,0.534252,382343.000000,111738.000000
1035.621001,0.532606,380815.000000,111714.000000
1039.392456,0.531097,379297.000000,111656.000000
1044.414362,0.529337,376700.000000,111342.000000
1048.175766,0.528339,375184.000000,111149.000000
1051.932862,0.527493,374333.000000,111113.000000
1055.685651,0.526821,373441.000000,111020.000000
1059.434132,0.526014,372372.000000,110908.000000
1063.178306,0.525595,372281.000000,110988.000000
1066.918172,0.525833,372851.000000,111097.000000
1070.653730,0.525642,373063.000000,111209.000000
1074.384981,0.526330,373772.000000,111244.000000
1078.111924,0.526567,374860.000000,111507.000000
1081.834560,0.528117,376980.000000,111738.000000
1086.791374,0.529662,379363.000000,112045.000000
1090.503958,0.531178,381223.000000,112202.000000
1094.212235,0.533366,384285.000000,112535.000000
1097.916205,0.535664,387103.000000,112762.000000
1101.615867,0.538333,390108.000000,112941.000000
1105.311221,0.540612,392928.000000,113162.000000
1109.002268,0.543868,396322.000000,113287.000000
1112.689007,0.546937,399696.000000,113447.000000
1116.371438,0.550373,401894.000000,113172.000000
1120.049562,0.554389,404650.000000,112899.000000
1123.723379,0.559959,407633.000000,112282.000000
1128.615100,0.571075,411236.000000,110412.000000
1132.278865,0.582828,413337.000000,108013.000000
1135.938323,0.598805,415570.000000,104674.000000
1139.593473,0.617147,417979.000000,100927.000000
1143.244316,0.636396,420233.000000,97072.000000
1146.890851,0.654844,422523.000000,93542.000000
1150.533078,0.670607,424923.000000,90720.000000
1154.170998,0.682853,427594.000000,88752.000000
1157.804610,0.692119,429924.000000,87352.000000
1161.433915,0.698970,432580.000000,86516.000000
1165.058912,0.703931,435335.000000,86078.000000
1169.885540,0.709028,439225.000000,85834.000000
1173.500487,0.712008,442074.000000,85800.000000
1177.111125,0.714944,445893.000000,85958.000000
1180.717456,0.717802,450163.000000,86212.000000
1184.319479,0.721213,454839.000000,86426.000000
1187.917195,0.723934,460298.000000,86917.000000
1191.510603,0.725504,466185.000000,87711.000000
1195.099703,0.726184,472611.000000,88781.000000
1198.684496,0.726433,478470.000000,89830.000000
1202.264982,0.725817,484573.000000,91105.000000
1205.841159,0.725039,491617.000000,92595.000000
1209.413030,0.723898,498678.000000,94172.000000
1214.168822,0.721614,507213.000000,96289.000000
1217.730641,0.719674,514424.000000,98095.000000
1221.288153,0.717686,521961.000000,99989.000000
1224.841357,0.715497,529465.000000,101939.000000
1228.390253,0.713216,536513.000000,103840.000000
