Method:,new,,
1231.934842,0.711430,544052.000000,105733.000000
1235.475123,0.709785,552094.000000,107703.000000
1239.011097,0.707790,559784.000000,109706.000000
1242.542763,0.706534,567280.000000,111497.000000
1246.070121,0.704942,574247.000000,113281.000000
1249.593172,0.703978,582053.000000,115076.000000
1254.283873,0.703631,592505.000000,117236.000000
1257.796872,0.703537,598890.000000,118525.000000
1261.305565,0.703986,605301.000000,119670.000000
1264.809949,0.704745,612683.000000,120918.000000
1268.310026,0.705963,619480.000000,121917.000000
1271.805796,0.707595,625362.000000,122613.000000
1275.297258,0.709840,631700.000000,123217.000000
1278.784412,0.712292,638102.000000,123765.000000
1282.267259,0.715082,642567.000000,123833.000000
1285.745798,0.718516,646266.000000,123565.000000
1289.220029,0.722353,649717.000000,123132.000000
1293.845637,0.728867,654249.000000,122145.000000
1297.309818,0.734654,656017.000000,120854.000000
1300.769691,0.741174,657068.000000,119244.000000
1304.225256,0.749068,659020.000000,117444.000000
1307.676514,0.757899,660131.000000,115274.000000
1311.123464,0.767771,660686.000000,112778.000000
1314.566107,0.778407,660575.000000,110031.000000
1318.004442,0.790103,660950.000000,107168.000000
1321.438469,0.802200,660631.000000,104174.000000
1324.868189,0.815686,659763.000000,100856.000000
1328.293601,0.829320,658562.000000,97561.000000
1332.854117,0.849231,657296.000000,93010.000000
1336.269478,0.863537,655717.000000,89780.000000
1339.680531,0.877748,653063.000000,86538.000000
1343.087277,0.891356,650045.000000,83481.000000
1346.489716,0.904877,647298.000000,80580.000000
1349.887847,0.917286,644098.000000,77923.000000
1353.281670,0.929646,639721.000000,75222.000000
1356.671186,0.942250,635271.000000,72562.000000
1360.056394,0.954858,631245.000000,70039.000000
1363.437294,0.968507,626994.000000,67415.000000
1366.813887,0.983992,622766.000000,64615.000000
1371.309310,1.008799,618280.000000,60588.000000
1374.675852,1.032737,615091.000000,57043.000000
1378.038086,1.061686,612156.000000,53110.000000
1381.396013,1.096388,608219.000000,48716.000000
1384.749632,1.135620,605278.000000,44293.000000
1388.098944,1.176385,602778.000000,40158.000000
1391.443948,1.217947,600184.000000,36336.000000
1394.784644,1.257137,597315.000000,33042.000000
1398.121033,1.291270,594196.000000,30385.000000
1401.453114,1.319688,590992.000000,28307.000000
1404.780888,1.341015,587780.000000,26804.000000
1409.211218,1.363822,583604.000000,25252.000000
1412.528941,1.376194,581088.000000,24437.000000
1415.842356,1.385216,578865.000000,23843.000000
1419.151463,1.392062,576938.000000,23392.000000
1422.456263,1.397226,575304.000000,23050.000000
1425.756755,1.401713,574141.000000,22767.000000
1429.052940,1.404865,573268.000000,22568.000000
1432.344817,1.409678,573339.000000,22322.000000
1435.632386,1.409580,572773.000000,22305.000000
1438.915648,1.413264,573146.000000,22131.000000
1442.194603,1.414320,572880.000000,22067.000000
1446.559841,1.415154,573356.000000,22043.000000
1449.828744,1.416304,573182.000000,21978.000000
1453.093340,1.416785,572877.000000,21942.000000
1456.353628,1.417218,572560.000000,21908.000000
1459.609608,1.417986,571636.000000,21834.000000
1462.861281,1.418211,571146.000000,21804.000000
1466.108647,1.417200,569897.000000,21807.000000
1469.351704,1.417231,568473.000000,21751.000000
1472.590454,1.415137,567274.000000,21810.000000
1475.824897,1.414941,565614.000000,21756.000000
1479.055032,1.412774,563652.000000,21789.000000
1482.280859,1.411296,562098.000000,21803.000000
1486.575262,1.408076,559993.000000,21883.000000
1489.791038,1.406438,558166.000000,21894.000000
1493.002507,1.402916,555958.000000,21985.000000
1496.209668,1.400026,553779.000000,22045.000000
1499.412522,1.398550,551749.000000,22039.000000
1502.611068,1.394296,549346.000000,22159.000000
1505.805306,1.390812,546457.000000,22220.000000
1508.995237,1.387644,543487.000000,22261.000000
1512.180860,1.382337,540937.000000,22429.000000
1515.362176,1.378611,538109.000000,22504.000000
1518.539184,1.373694,534960.000000,22627.000000
1522.768494,1.366680,530181.000000,22790.000000
1525.935451,1.361277,527578.000000,22962.000000
1529.098100,1.356560,523947.000000,23053.000000
1532.256442,1.350445,520005.000000,23204.000000
1535.410477,1.344473,515622.000000,23327.000000
1538.560203,1.338169,511917.000000,23498.000000
1541.705622,1.331979,507873.000000,23647.000000
1544.846734,1.326411,503015.000000,23723.000000
1547.983538,1.320288,498063.000000,23823.000000
1551.116034,1.313772,492850.000000,23930.000000
1554.244223,1.306784,487881.000000,24073.000000
1558.408441,1.300410,480454.000000,24057.000000
1561.526578,1.295135,474693.000000,24059.000000
1564.640408,1.289965,469036.000000,24057.000000
1567.749931,1.284238,462930.000000,24059.000000
1570.855146,1.278011,456378.000000,24061.000000
1573.956053,1.275367,449574.000000,23847.000000
1577.052653,1.269417,442936.000000,23819.000000
1580.144945,1.265707,436402.000000,23669.000000
1583.232930,1.262313,428797.000000,23439.000000
1586.316607,1.257608,421842.000000,23310.000000
1589.395976,1.252546,414951.000000,23198.000000
1593.495102,1.246157,404872.000000,22970.000000
1596.564420,1.240290,396970.000000,22828.000000
1599.629431,1.233663,389263.000000,22729.000000
1602.690134,1.226914,381844.000000,22645.000000
1605.746530,1.220911,374075.000000,22493.000000
1608.798618,1.215771,365861.000000,22261.000000
1611.846398,1.210481,357989.000000,22049.000000
1614.889871,1.206817,349991.000000,21739.000000
1617.929036,1.204046,341782.000000,21365.000000
1620.963894,1.199528,333226.000000,21048.000000
1623.994444,1.195430,325188.000000,20735.000000
1628.028477,1.189917,314644.000000,20319.000000
1631.048976,1.186374,306850.000000,19978.000000
1634.065168,1.182436,298494.000000,19611.000000
1637.077052,1.180269,290299.000000,19168.000000
1640.084628,1.176531,282766.000000,18832.000000
1643.087897,1.173931,274914.000000,18419.000000
1646.086858,1.170130,266408.000000,18006.000000
1649.081511,1.168362,257840.000000,17498.000000
1652.071857,1.167032,249310.000000,16971.000000
1655.057896,1.164668,240052.000000,16430.000000
1658.039627,1.162501,229524.000000,15788.000000
1662.008567,1.158540,213697.000000,14834.000000
1664.980247,1.154542,199606.000000,13984.000000
1667.947619,1.152359,182727.000000,12866.000000
1670.910684,1.146123,163588.000000,11685.000000
1673.869441,1.142360,143454.000000,10336.000000
1676.823890,1.138699,123450.000000,8970.000000
1679.774032,1.135696,104722.000000,7662.000000
1682.719866,1.138256,88128.000000,6410.000000
1685.661393,1.139368,74460.000000,5402.000000
1688.598612,1.141592,62664.000000,4523.000000
1691.531523,1.146706,53383.000000,3808.000000
1695.435371,1.151782,43061.000000,3036.000000
1698.358232,1.157469,37090.000000,2581.000000
1701.276785,1.161241,32398.000000,2235.000000
