Method:,Column 1,,
Host Date-Time:,22/5/18 @ 14:5:22,,
Header Version:,1,,
System Temp (C):,33.81,,
Detector Temp (C):,30.46,,
Humidity (%):,48.69,,
Lamp PD:,3768,,
Shift Vector Coefficients:,-6.74686,0.0524561,-0.000101434
Pixel to Wavelength Coefficients:,1814.03,-0.914938,-0.00023931
Serial Number:,5510028,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,7.03,,
Exposure (ms):,0.635,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,2.712,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1479.055032,1.56967008,563652,15087
1482.280859,1.56448543,562098,15330
1486.575262,1.55513787,559993,15198
1489.791038,1.56327331,558166,15441
1493.002507,1.54771566,555958,15554
1496.209668,1.54965365,553779,15541
1499.412522,1.55417538,551749,15892
1502.611068,1.54184794,549346,16374
1505.805306,1.54352999,546457,15936
1508.995237,1.5352186,543487,15775
1512.18086,1.52400851,540937,15969
1515.362176,1.52322197,538109,16531
1518.539184,1.50653923,534960,16635
1522.768494,1.51637912,530181,16479
1525.935451,1.49298286,527578,16909
1529.0981,1.48990119,523947,16685
1532.256442,1.48997736,520005,17393
1535.410477,1.47568357,515622,17459
1538.560203,1.47408211,511917,17527
1541.705622,1.45487273,507873,17617
1544.846734,1.46184349,503015,17756
1547.983538,1.44686115,498063,17937
1551.116034,1.43764043,492850,18295
1554.244223,1.42815697,487881,18206
1558.408441,1.41762674,480454,18419
1561.526578,1.42011261,474693,18773
1564.640408,1.41265059,469036,18696
1567.749931,1.39644027,462930,18704
1570.855146,1.38702166,456378,18817
1573.956053,1.39197004,449574,18731
1577.052653,1.3771317,442936,18827
1580.144945,1.37838936,436402,18846
1583.23293,1.36937344,428797,18832
1586.316607,1.35789382,421842,19169
1589.395976,1.35124469,414951,18908
1593.495102,1.34691727,404872,18902
1596.56442,1.34182954,396970,18832
1599.629431,1.33544016,389263,18934
1602.690134,1.32840776,381844,18008
1605.74653,1.32780266,374075,18227
1608.798618,1.32507861,365861,18587
1611.846398,1.31009054,357989,18121
1614.889871,1.30749321,349991,18255
1617.929036,1.30978155,341782,17821
1620.963894,1.30319428,333226,16303
1623.994444,1.29579353,325188,17216
1628.028477,1.2960887,314644,17294
1631.048976,1.28700924,306850,16947
1634.065168,1.28416646,298494,16749
1637.077052,1.28806543,290299,16278
1640.084628,1.27459133,282766,16278
1643.087897,1.28690553,274914,15450
1646.086858,1.27853286,266408,15241
1649.081511,1.2716732,257840,14424
1652.071857,1.26151681,249310,14719
1655.057896,1.27036214,240052,14160
1658.039627,1.259498,229524,13338
1662.008567,1.24306858,213697,12563
1664.980247,1.24465668,199606,11805
1667.947619,1.23100877,182727,11346
1670.910684,1.22419524,163588,10019
1673.869441,1.19355881,143454,9424
1676.82389,1.15179563,123450,8168
1679.774032,1.16341615,104722,7212
1682.719866,1.12947798,88128,5637
1685.661393,1.16581666,74460,4848
1688.598612,1.13866436,62664,4082
1691.531523,1.15936327,53383,3534
1695.435371,1.13870955,43061,3039
1698.358232,1.15857351,37090,2836
1701.276785,1.15133655,32398,2047
