Method:,Column 1,,
1228.390253,0.670968056,536513,101301
1231.934842,0.666409612,544052,103343
1235.475123,0.66573441,552094,105513
1239.011097,0.659757733,559784,106781
1242.542763,0.655943453,567280,108907
1246.070121,0.653243721,574247,110618
1249.593172,0.649904132,582053,112167
1254.283873,0.649993718,592505,114610
1257.796872,0.64698559,598890,115942
1261.305565,0.646403253,605301,117425
1264.809949,0.64558357,612683,118635
1268.310026,0.646456122,619480,119309
1271.805796,0.646424413,625362,119678
1275.297258,0.647398055,631700,120886
1278.784412,0.649845898,638102,121316
1282.267259,0.652662158,642567,120616
1285.745798,0.656601191,646266,120906
1289.220029,0.657632411,649717,120591
1293.845637,0.665637732,654249,119420
1297.309818,0.672350168,656017,118022
1300.769691,0.681130826,657068,116936
1304.225256,0.689284146,659020,114867
1307.676514,0.699768841,660131,113044
1311.123464,0.711712897,660686,110559
1314.566107,0.722334623,660575,107490
1318.004442,0.734579742,660950,104752
1321.438469,0.750734925,660631,101944
1324.868189,0.766076684,659763,98200
1328.293601,0.786569536,658562,95014
1332.854117,0.807500541,657296,90092
1336.269478,0.828411043,655717,86848
1339.680531,0.844046891,653063,83574
1343.087277,0.864341199,650045,80495
1346.489716,0.880875468,647298,77355
1349.887847,0.897030592,644098,74445
1353.28167,0.913384199,639721,71529
1356.671186,0.931031764,635271,68726
1360.056394,0.945787668,631245,65874
1363.437294,0.963221729,626994,63400
1366.813887,0.988240063,622766,60134
1371.30931,1.02175558,618280,56001
1374.675852,1.05459869,615091,52362
1378.038086,1.09953856,612156,48253
1381.396013,1.15174139,608219,43548
1384.749632,1.21381056,605278,38524
1388.098944,1.27622938,602778,34193
1391.443948,1.34561992,600184,29357
1394.784644,1.41667151,597315,26486
1398.121033,1.47537529,594196,23594
1401.453114,1.52500069,590992,21565
1404.780888,1.56830609,587780,19933
1409.211218,1.61800349,583604,18778
1412.528941,1.62923038,581088,17583
1415.842356,1.66735375,578865,16915
1419.151463,1.6789248,576938,16796
1422.456263,1.68761611,575304,16662
1425.756755,1.69977486,574141,15559
1429.05294,1.69683504,573268,16154
1432.344817,1.72279203,573339,15824
1435.632386,1.70764852,572773,15824
1438.915648,1.71883678,573146,15732
1442.194603,1.70479548,572880,15543
1446.559841,1.71116245,573356,15713
1449.828744,1.71233141,573182,15555
1453.09334,1.72199523,572877,15249
1456.353628,1.73227787,572560,15806
1459.609608,1.73457742,571636,15325
1462.861281,1.72098923,571146,15835
1466.108647,1.70921195,569897,14959
1469.351704,1.72697186,568473,15467
1472.590454,1.71355832,567274,15602
1475.824897,1.7072053,565614,15727
1479.055032,1.69259715,563652,15087
1482.280859,1.69325268,562098,15330
1486.575262,1.68122637,559993,15198
1489.791038,1.68146479,558166,15441
1493.002507,1.6798861,555958,15554
1496.209668,1.66321468,553779,15541
1499.412522,1.65165842,551749,15892
1502.611068,1.63615322,549346,16374
1505.805306,1.62945724,546457,15936
1508.995237,1.62128079,543487,15775
1512.18086,1.61082876,540937,15969
1515.362176,1.59472942,538109,16531
1518.539184,1.5811044,534960,16635
1522.768494,1.5770371,530181,16479
1525.935451,1.56435502,527578,16909
1529.0981,1.56357408,523947,16685
1532.256442,1.53319418,520005,17393
1535.410477,1.52140617,515622,17459
1538.560203,1.51580667,511917,17527
1541.705622,1.49393034,507873,17617
1544.846734,1.48126125,503015,17756
1547.983538,1.46275973,498063,17937
1551.116034,1.45100439,492850,18295
1554.244223,1.44547224,487881,18206
1558.408441,1.43936777,480454,18419
1561.526578,1.42585468,474693,18773
1564.640408,1.41583812,469036,18696
1567.749931,1.40589988,462930,18704
1570.855146,1.38951707,456378,18817
1573.956053,1.38298273,449574,18731
1577.052653,1.37443948,442936,18827
1580.144945,1.36653483,436402,18846
1583.23293,1.35100913,428797,18832
1586.316607,1.33471692,421842,19169
1589.395976,1.3362205,414951,18908
1593.495102,1.32058704,404872,18902
1596.56442,1.30975521,396970,18832
1599.629431,1.30306149,389263,18934
1602.690134,1.29779339,381844,18008
1605.74653,1.29696023,374075,18227
1608.798618,1.28767526,365861,18587
1611.846398,1.2709347,357989,18121
1614.889871,1.2670933,349991,18255
1617.929036,1.24762714,341782,17821
1620.963894,1.25880778,333226,16303
1623.994444,1.24590874,325188,17216
1628.028477,1.24063241,314644,17294
1631.048976,1.23262513,306850,16947
1634.065168,1.23027325,298494,16749
1637.077052,1.22402608,290299,16278
1640.084628,1.21351016,282766,16278
1643.087897,1.2159493,274914,15450
1646.086858,1.21344888,266408,15241
1649.081511,1.21245182,257840,14424
1652.071857,1.20126367,249310,14719
1655.057896,1.199193,240052,14160
1658.039627,1.19292319,229524,13338
1662.008567,1.16416907,213697,12563
1664.980247,1.17435336,199606,11805
1667.947619,1.17620921,182727,11346
1670.910684,1.14976156,163588,10019
1673.869441,1.13472271,143454,9424
1676.82389,1.13543665,123450,8168
1679.774032,1.11040831,104722,7212
1682.719866,1.11940777,88128,5637
1685.661393,1.11224675,74460,4848
1688.598612,1.15743637,62664,4082
1691.531523,1.14039195,53383,3534
1695.435371,1.08267164,43061,3039
1698.358232,1.08877206,37090,2836
1701.276785,1.18743789,32398,2047
