Method:,Column 1,,
Host Date-Time:,22/5/18 @ 14:5:22,,
Header Version:,1,,
System Temp (C):,33.81,,
Detector Temp (C):,30.46,,
Humidity (%):,48.69,,
Lamp PD:,3768,,
Shift Vector Coefficients:,-6.74686,0.0524561,-0.000101434
Pixel to Wavelength Coefficients:,1814.03,-0.914938,-0.00023931
Serial Number:,5510028,,
Scan Config Name:,Column 1,,
Scan Config Type:,Slew,,
Section 1,,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,7.03,,
Exposure (ms):,0.635,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,2.712,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.906296,0.536337733,71820,23700
904.828517,0.540668011,86358,28159
908.74643,0.557720363,97758,31575
913.963613,0.551432431,110243,35070
917.871475,0.555817664,120591,37989
921.775029,0.555219114,134100,42014
925.674276,0.559383929,150991,47062
929.569215,0.560794592,170011,52178
933.459847,0.565867245,189894,57846
937.346171,0.566732764,208331,63095
941.228187,0.571242809,224869,67261
945.105896,0.571616769,238808,70727
948.979297,0.576298773,251889,73204
952.848391,0.587795615,264137,75616
958.000482,0.597655952,279863,78138
961.859524,0.601397514,291735,79972
965.714259,0.605013669,303819,82392
969.564687,0.605121374,315794,85074
973.410806,0.606503129,327489,87814
977.252619,0.604957283,338786,90553
981.090123,0.601795852,348863,93423
984.92332,0.598583698,357867,95863
988.75221,0.595240474,365848,98499
992.576792,0.590073228,372415,100448
996.397066,0.588722885,377154,102219
1001.484064,0.581600606,381870,103814
1005.294288,0.576831818,384246,105205
1009.100203,0.572579145,385587,105665
1012.901811,0.567635357,386049,106557
1016.699112,0.564248562,386049,106895
1020.492105,0.557708263,386305,107906
1024.28079,0.551916003,385649,108421
1028.065168,0.548237145,384043,108735
1031.845238,0.542294323,382343,108482
1035.621001,0.539763153,380815,108537
1039.392456,0.536099672,379297,108728
1044.414362,0.531069815,376700,108024
1048.175766,0.528600514,375184,107275
1051.932862,0.526152551,374333,107532
1055.685651,0.521631658,373441,107880
1059.434132,0.518937767,372372,107466
1063.178306,0.517834723,372281,107952
1066.918172,0.516356111,372851,107622
1070.65373,0.511285067,373063,108063
1074.384981,0.512763321,373772,108177
1078.111924,0.510303378,374860,108361
1081.83456,0.511890829,376980,108660
1086.791374,0.511866093,379363,108796
1090.503958,0.510907114,381223,108634
1094.212235,0.51116854,384285,108862
1097.916205,0.511772752,387103,109747
1101.615867,0.516127467,390108,109699
1105.311221,0.514924526,392928,109303
1109.002268,0.516702414,396322,109875
1112.689007,0.518897653,399696,110391
1116.371438,0.520770788,401894,110123
1120.049562,0.523798168,404650,109782
1123.723379,0.530617774,407633,109088
1128.6151,0.541165829,411236,107583
1132.278865,0.553298831,413337,105346
1135.938323,0.571409464,415570,102005
1139.593473,0.591018975,417979,98575
1143.244316,0.613361359,420233,94156
1146.890851,0.634828746,422523,91312
1150.533078,0.649898887,424923,88483
1154.170998,0.668200493,427594,86316
1157.80461,0.676863551,429924,84887
1161.433915,0.682875097,432580,84201
1165.058912,0.688142002,435335,83270
1169.88554,0.691449702,439225,83363
1173.500487,0.694964051,442074,82777
1177.111125,0.69542861,445893,83035
1180.717456,0.697508335,450163,83691
1184.319479,0.701132298,454839,83362
1187.917195,0.703203559,460298,84147
1191.510603,0.705106497,466185,84888
1195.099703,0.700849831,472611,85937
1198.684496,0.698768437,478470,87308
1202.264982,0.697916865,484573,88813
1205.841159,0.697412848,491617,90304
1209.41303,0.691927254,498678,91645
1214.168822,0.689533412,507213,93908
1217.730641,0.685516834,514424,96063
1221.288153,0.680409908,521961,97918
1224.841357,0.674629211,529465,99712
